Time resolution is 1 ps
Time	PC
0	00000000
25000	00000004
35000	00000124
45000	00000128
55000	0000012c
65000	00000130
75000	00000134
85000	00000138
95000	0000013c
105000	00000140
115000	00000144
125000	00000148
135000	0000014c
145000	00000150
155000	00000154
165000	00000158
175000	0000015c
185000	00000160
195000	00000164
205000	00000168
215000	0000016c
225000	00000170
235000	00000174
245000	00000178
255000	0000017c
265000	00000180
275000	00000184
285000	00000188
295000	0000018c
305000	00000190
315000	00000194
325000	00000198
335000	0000019c
345000	000001a0
355000	000001a4
365000	000001a8
375000	000001ac
385000	000001b0
395000	000001b4
405000	000001b8
415000	000001bc
425000	000001c0
435000	000001c4
445000	000001c8
455000	000001cc
465000	000001d0
475000	000001d4
485000	000001d8
495000	000001dc
505000	000001e0
515000	000001e4
$finish called at time : 520 ns : File "D:/2025_summer/Mips_single_cycle_verilog/code/2025_new/tb/tb_mips.v" Line 36
